"id","itemid","modification","slotid"
14729,48,"XTEN RR-40",1
14730,48,"Forge DX90-F",1
14731,48,"SA Schalldämpfer 99",1
14732,48,"Singuard MKV",1
14733,48,"EXF Huntress-90",1
14734,48,"XTEN Black Kite",1
14735,48,"Bruen Pendulum",1
14736,48,"AVR-T90 Comp",1
14737,48,"FTAC Castle Comp",1
14738,48,"XTEN Razor Comp",1
14739,48,"XRK Sandstorm",1
14740,48,"Lockshot KT85",1
14741,48,"Bruen Cubic Comp",1
14742,48,"Spiral V3.5 Flash Hider",1
14743,48,"FOX-202 Flash Hider",1
14744,48,"XRK Knockout Breach",1
14746,48,"FSS Covert IV",1
14747,48,"Lacerta Compensator",1
14748,48,"Slimline Pro",5
14749,48,"SZ Mini",5
14751,48,"Cronen Mini Pro",5
20863,64,"XTEN Sidearm-L400",4
20864,64,"1mW Pistol Laser",4
14752,48,"SZ Sigma-IV Optic",5
11940,8,"Corio Enforcer Optic",5
11942,35,"Corio Enforcer Optic",5
11943,42,"Corio Enforcer Optic",5
13885,21,"7.62 Overpressured +P",11
11944,16,"Corio Enforcer Optic",5
11945,43,"Corio Enforcer Optic",5
11946,19,"Corio Enforcer Optic",5
11947,23,"Corio Enforcer Optic",5
11949,28,"Corio Enforcer Optic",5
11950,29,"Corio Enforcer Optic",5
11951,18,"Corio Enforcer Optic",5
20026,49,"SZ Mini",5
11952,27,"Corio Enforcer Optic",5
20333,57,"SZ Aggressor-IR Optic",5
12446,10,"VX350 Thermal Optic",5
11954,41,"Corio Enforcer Optic",5
11955,14,"Corio Enforcer Optic",5
11956,44,"Corio Enforcer Optic",5
20666,63,"Shred CP90",1
11957,15,"Corio Enforcer Optic",5
11958,26,"Corio Enforcer Optic",5
11959,39,"Corio Enforcer Optic",5
11961,30,"Corio Enforcer Optic",5
11962,11,"Corio Enforcer Optic",5
11963,2,"Corio Enforcer Optic",5
10413,29,"Canted Vibro-Dot 7",4
11964,20,"Corio Enforcer Optic",5
11965,36,"Corio Enforcer Optic",5
11966,40,"Corio Enforcer Optic",5
11967,17,"Corio Enforcer Optic",5
11968,21,"Corio Enforcer Optic",5
11969,22,"Corio Enforcer Optic",5
11970,7,"Corio Enforcer Optic",5
11971,9,"Corio Enforcer Optic",5
11972,38,"Corio Enforcer Optic",5
11973,32,"Corio Enforcer Optic",5
11974,45,"Corio Enforcer Optic",5
11975,37,"Corio Enforcer Optic",5
11976,1,"Corio Enforcer Optic",5
11977,3,"Corio Enforcer Optic",5
11978,13,"Corio Enforcer Optic",5
14754,48,"XRK On-Point Optic",5
14755,48,"DF105 Reflex Sight",5
14759,48,"SZ SRO-7",5
14760,48,"Corio RE-X Pro",5
14762,48,"SZ Lonewolf Optic",5
14763,48,"Kazan-Holo",5
14764,48,"Corvus Downrange-00",5
14765,48,"SZ Holotherm",5
14766,48,"XTEN Angel-40",5
14767,48,"VLK 4.0 Optic",5
14769,48,"Forge Tac Delta 4",5
20865,64,"DZM-1000 L",4
20866,64,"FTAC Vortex 200",4
14770,48,"Cronen Zero-P Optic",5
14771,48,"SZ Bullseye Optic",5
14772,48,"SZ Aggressor-IR Optic",5
20036,49,"SZ SRO-7",5
14775,48,"Teplo-OP3 Scope",5
14776,48,"DR582 Hybrid Sight",5
14777,48,"Hybrid Firepoint",5
14778,48,"SZ Vortex-90",5
14779,48,"BPZ40 Hybrid",5
10357,14,"Corio LAZ-44 V3",4
10358,44,"Corio LAZ-44 V3",4
10359,26,"Corio LAZ-44 V3",4
10360,2,"Corio LAZ-44 V3",4
14323,19,"Prolite TL3 Stock",6
20334,57,"Schlager Night View",5
10361,36,"Corio LAZ-44 V3",4
10362,40,"Corio LAZ-44 V3",4
10363,17,"Corio LAZ-44 V3",4
10364,21,"Corio LAZ-44 V3",4
10366,7,"Corio LAZ-44 V3",4
10367,38,"Corio LAZ-44 V3",4
10368,32,"Corio LAZ-44 V3",4
10369,45,"Corio LAZ-44 V3",4
10370,31,"Corio LAZ-44 V3",4
10371,37,"Corio LAZ-44 V3",4
10374,10,"FSS OLE-V Laser",4
20119,38,"FR Titan Silencer",1
20120,32,"FR Titan Silencer",1
10375,8,"FSS OLE-V Laser",4
10376,4,"FSS OLE-V Laser",4
10377,35,"FSS OLE-V Laser",4
10378,16,"FSS OLE-V Laser",4
10379,43,"FSS OLE-V Laser",4
10380,19,"FSS OLE-V Laser",4
10381,23,"FSS OLE-V Laser",4
10382,34,"FSS OLE-V Laser",4
10383,28,"FSS OLE-V Laser",4
10384,29,"FSS OLE-V Laser",4
10385,41,"FSS OLE-V Laser",4
10386,14,"FSS OLE-V Laser",4
10387,44,"FSS OLE-V Laser",4
10388,26,"FSS OLE-V Laser",4
10389,2,"FSS OLE-V Laser",4
10390,36,"FSS OLE-V Laser",4
10391,40,"FSS OLE-V Laser",4
10392,17,"FSS OLE-V Laser",4
10393,21,"FSS OLE-V Laser",4
10474,36,"Stovl DR Laser Box",4
10475,40,"Stovl DR Laser Box",4
10476,17,"Stovl DR Laser Box",4
10477,21,"Stovl DR Laser Box",4
10478,22,"Stovl DR Laser Box",4
10479,7,"Stovl DR Laser Box",4
10480,38,"Stovl DR Laser Box",4
10482,45,"Stovl DR Laser Box",4
10483,31,"Stovl DR Laser Box",4
20867,64,"XTEN RR-40",1
10484,37,"Stovl DR Laser Box",4
10485,25,"Stovl DR Laser Box",4
10486,12,"Stovl DR Laser Box",4
20035,49,"SZ Recharge-DX",5
10487,10,"Corvus PEQ Beam-5",4
10488,8,"Corvus PEQ Beam-5",4
10489,4,"Corvus PEQ Beam-5",4
11939,10,"Corio Enforcer Optic",5
13886,22,"7.62 Overpressured +P",11
13887,7,"7.62 Overpressured +P",11
10490,35,"Corvus PEQ Beam-5",4
10491,16,"Corvus PEQ Beam-5",4
10492,43,"Corvus PEQ Beam-5",4
10493,19,"Corvus PEQ Beam-5",4
10494,23,"Corvus PEQ Beam-5",4
10495,34,"Corvus PEQ Beam-5",4
14855,47,"SZ Mini",5
10497,29,"Corvus PEQ Beam-5",4
10498,41,"Corvus PEQ Beam-5",4
10500,44,"Corvus PEQ Beam-5",4
10501,26,"Corvus PEQ Beam-5",4
14326,43,"Markeev R7 Stock",6
10503,36,"Corvus PEQ Beam-5",4
20667,63,"XRK Kraken",1
20668,63,"TA CG76",1
20669,63,"VLK 4.0 Optic",5
10504,40,"Corvus PEQ Beam-5",4
10505,17,"Corvus PEQ Beam-5",4
10506,21,"Corvus PEQ Beam-5",4
10507,22,"Corvus PEQ Beam-5",4
10508,7,"Corvus PEQ Beam-5",4
10509,38,"Corvus PEQ Beam-5",4
10510,32,"Corvus PEQ Beam-5",4
10511,45,"Corvus PEQ Beam-5",4
10512,31,"Corvus PEQ Beam-5",4
10513,37,"Corvus PEQ Beam-5",4
10514,25,"Corvus PEQ Beam-5",4
11948,34,"Corio Enforcer Optic",5
10515,12,"Corvus PEQ Beam-5",4
10516,10,"FTAC Grimline Laser",4
10517,8,"FTAC Grimline Laser",4
10518,4,"FTAC Grimline Laser",4
10519,35,"FTAC Grimline Laser",4
10520,16,"FTAC Grimline Laser",4
10521,43,"FTAC Grimline Laser",4
10522,19,"FTAC Grimline Laser",4
10523,23,"FTAC Grimline Laser",4
10524,34,"FTAC Grimline Laser",4
10525,28,"FTAC Grimline Laser",4
10526,29,"FTAC Grimline Laser",4
10527,41,"FTAC Grimline Laser",4
10529,44,"FTAC Grimline Laser",4
10530,26,"FTAC Grimline Laser",4
10531,2,"FTAC Grimline Laser",4
10532,36,"FTAC Grimline Laser",4
10533,40,"FTAC Grimline Laser",4
10534,17,"FTAC Grimline Laser",4
20868,64,"Forge DX90-F",1
10535,21,"FTAC Grimline Laser",4
10536,22,"FTAC Grimline Laser",4
10537,7,"FTAC Grimline Laser",4
10538,38,"FTAC Grimline Laser",4
10539,32,"FTAC Grimline Laser",4
10540,45,"FTAC Grimline Laser",4
10541,31,"FTAC Grimline Laser",4
20037,49,"Corio RE-X Pro",5
10542,37,"FTAC Grimline Laser",4
10543,25,"FTAC Grimline Laser",4
10544,12,"FTAC Grimline Laser",4
10546,8,"Luminate-44",4
10547,4,"Luminate-44",4
10548,35,"Luminate-44",4
10549,16,"Luminate-44",4
12404,45,"SZ Aggressor-IR Optic",5
12405,31,"SZ Aggressor-IR Optic",5
12406,37,"SZ Aggressor-IR Optic",5
12407,25,"SZ Aggressor-IR Optic",5
14797,48,"OP-X9 Foregrip",8
14798,48,"Operator Foregrip",8
14801,48,"Cronen Grooveshot Grip",8
14802,48,"Bruen Warrior Grip",8
14803,48,"EXF Backdraft Grip",8
14804,48,"XTEN Nexus Grip",8
14806,48,"9mm Hollow Point",11
14808,48,"9mm Overpressured +P",11
20121,45,"FR Titan Silencer",1
20122,4,"SA Leveler 55",1
14809,48,"12"" Bruen SZ-36",2
14810,48,"10.5"" Bruen Typhon",2
14811,48,"6.5"" Bruen Drake",2
14812,48,"4"" Thunderfire",2
14813,48,"20 Round Mag",13
14814,48,"50 Round Drum",13
14815,48,"Ravage-8",6
10414,41,"Canted Vibro-Dot 7",4
14816,48,"Bruen Flash V4 Stock",6
14817,48,"BR Stockless Mod",6
14818,48,"Bruen GR-500",16
14819,48,"D37 Grip",16
14820,48,"Bruen Flash Grip",16
14821,47,"1mW Quick Fire Laser",4
14822,47,"Accu-Shot 5mW Laser",4
14823,47,"VLK LZR 7mW",4
14824,47,"Schlager ULO-66 Laser",4
14825,47,"Stovl TAC Laser",4
14826,47,"Hipshot L20",4
14827,47,"Point-G3P 04",4
14828,47,"FJX Ultrabeam XR",4
14829,47,"EXF Solarflare",4
14830,47,"1mW Artemis Laser",4
14831,47,"7mW Canted Laser",4
14832,47,"Corvus Slash Gen. 2",1
14833,47,"Dark KX30",1
14834,47,"VLK Koloss Flash Hider",1
14835,47,"Broadhead-3DP",1
14836,47,"Silentfire XG6",1
14837,47,"Echoline GS-X",1
14838,47,"Harbinger D20",1
14839,47,"Echoless-80",1
11292,18,"XRK Knockout Breach",1
13888,38,"7.62 Overpressured +P",11
14840,47,"FSS Covert V",1
20038,49,"Corio Enforcer Optic",5
12452,43,"VX350 Thermal Optic",5
12453,19,"VX350 Thermal Optic",5
12454,23,"VX350 Thermal Optic",5
12455,34,"VX350 Thermal Optic",5
12456,28,"VX350 Thermal Optic",5
12457,29,"VX350 Thermal Optic",5
12458,18,"VX350 Thermal Optic",5
12459,27,"VX350 Thermal Optic",5
12460,24,"VX350 Thermal Optic",5
12461,41,"VX350 Thermal Optic",5
12462,44,"VX350 Thermal Optic",5
10603,42,"1mW Quick Fire Laser",4
20336,57,"Teplo-OP3 Scope",5
14865,47,"SZ SRO-7",5
14866,47,"Corio RE-X Pro",5
20670,63,"Schlager 3.4x",5
20671,63,"Forge Tac Delta 4",5
14867,47,"Corio Enforcer Optic",5
14868,47,"SZ Lonewolf Optic",5
14869,47,"Kazan-Holo",5
14871,47,"SZ Holotherm",5
14872,47,"XTEN Angel-40",5
14873,47,"VLK 4.0 Optic",5
10707,1,"XTEN Sidearm-L400",4
10711,1,"1mW Pistol Laser",4
10712,5,"1mW Pistol Laser",4
10713,13,"1mW Pistol Laser",4
10714,6,"DZM-1000 L",4
10715,1,"DZM-1000 L",4
10717,13,"DZM-1000 L",4
10718,6,"FTAC Vortex 200",4
13889,23,"7.62 High Velocity",11
14875,47,"Forge Tac Delta 4",5
20039,49,"SZ Lonewolf Optic",5
14774,48,"VX350 Thermal Optic",5
14877,47,"SZ Bullseye Optic",5
14878,47,"SZ Aggressor-IR Optic",5
14879,47,"Schlager Night View",5
14881,47,"Teplo-OP3 Scope",5
14882,47,"DR582 Hybrid Sight",5
14883,47,"Hybrid Firepoint",5
14884,47,"SZ Vortex-90",5
14261,6,"12 Round Mag",13
14885,47,"BPZ40 Hybrid",5
14615,9,"Stallion Lever",12
14887,47,"Thermo-Optic X9",5
14888,47,"Teplo Clear Shot",5
10719,1,"FTAC Vortex 200",4
10720,5,"FTAC Vortex 200",4
10721,13,"FTAC Vortex 200",4
10722,3,"Basilisk Grip Laser",4
10723,3,"Revo-LSD 7mW",4
10724,3,"Corvus LZR-790",4
10725,10,"Corvus Slash Gen. 2",1
20869,64,"SA Schalldämpfer 99",1
20870,64,"Singuard MKV",1
20871,64,"EXF Huntress-90",1
10726,8,"Corvus Slash Gen. 2",1
20125,34,"SA Leveler 55",1
20126,28,"SA Leveler 55",1
10727,35,"Corvus Slash Gen. 2",1
10728,42,"Corvus Slash Gen. 2",1
10729,16,"Corvus Slash Gen. 2",1
10730,43,"Corvus Slash Gen. 2",1
10731,19,"Corvus Slash Gen. 2",1
10732,20,"Corvus Slash Gen. 2",1
10733,36,"Corvus Slash Gen. 2",1
14329,44,"Markeev R7 Stock",6
10737,42,"Dark KX30",1
10738,16,"Dark KX30",1
10739,43,"Dark KX30",1
10740,19,"Dark KX30",1
10741,20,"Dark KX30",1
10742,36,"Dark KX30",1
10743,10,"VLK Koloss Flash Hider",1
14940,47,"Ravage-8",6
20124,23,"SA Leveler 55",1
10744,8,"VLK Koloss Flash Hider",1
10745,35,"VLK Koloss Flash Hider",1
10746,42,"VLK Koloss Flash Hider",1
10747,16,"VLK Koloss Flash Hider",1
10748,43,"VLK Koloss Flash Hider",1
10734,10,"Dark KX30",1
12451,16,"VX350 Thermal Optic",5
10805,45,"Cronen Dark KX30",1
10807,23,"Husher-65 Silencer",1
10735,8,"Dark KX30",1
12049,9,"Kazan-Holo",5
10809,28,"Husher-65 Silencer",1
10810,2,"Husher-65 Silencer",1
10811,17,"Husher-65 Silencer",1
20127,2,"SA Leveler 55",1
10812,21,"Husher-65 Silencer",1
10816,32,"Husher-65 Silencer",1
10817,45,"Husher-65 Silencer",1
10818,4,"Polarfire-S",1
10819,23,"Polarfire-S",1
10820,34,"Polarfire-S",1
10821,28,"Polarfire-S",1
10822,2,"Polarfire-S",1
10823,17,"Polarfire-S",1
10824,21,"Polarfire-S",1
10825,22,"Polarfire-S",1
10826,7,"Polarfire-S",1
10827,38,"Polarfire-S",1
10828,32,"Polarfire-S",1
20040,49,"Kazan-Holo",5
20041,49,"Corvus Downrange-00",5
20673,63,"SZ Bullseye Optic",5
10829,45,"Polarfire-S",1
10830,4,"ZLR Talon 5",1
10831,23,"ZLR Talon 5",1
20872,64,"Bruen Pendulum",1
14864,47,"SZ Recharge-DX",5
10832,34,"ZLR Talon 5",1
10833,28,"ZLR Talon 5",1
10834,2,"ZLR Talon 5",1
10836,21,"ZLR Talon 5",1
10837,22,"ZLR Talon 5",1
10838,7,"ZLR Talon 5",1
10839,38,"ZLR Talon 5",1
10840,32,"ZLR Talon 5",1
10841,45,"ZLR Talon 5",1
10842,10,"Echoline GS-X",1
10646,24,"Stovl TAC Laser",4
10843,8,"Echoline GS-X",1
10844,4,"Echoline GS-X",1
10845,35,"Echoline GS-X",1
10846,42,"Echoline GS-X",1
10847,16,"Echoline GS-X",1
10848,43,"Echoline GS-X",1
11414,3,"FTAC H50 Ported",1
12957,31,"Raptor-FVM40",5
12958,37,"Raptor-FVM40",5
12959,25,"Raptor-FVM40",5
12960,12,"Raptor-FVM40",5
12961,10,"Edge-47 Grip",8
12962,8,"Edge-47 Grip",8
12963,4,"Edge-47 Grip",8
12964,35,"Edge-47 Grip",8
12965,42,"Edge-47 Grip",8
20339,57,"SZ Vortex-90",5
12966,16,"Edge-47 Grip",8
12967,19,"Edge-47 Grip",8
12968,23,"Edge-47 Grip",8
12969,34,"Edge-47 Grip",8
14890,47,"HMW-20 Optic",5
14918,47,"TV Wrecker Grip",8
14920,47,"Cronen Grooveshot Grip",8
14921,47,"Bruen Warrior Grip",8
14922,47,"Bipod V9 Grip",8
20130,7,"SA Leveler 55",1
14923,47,"Level Aim Bipod",8
14924,47,"Cornerstone Bipod",8
14925,47,"XTEN Stable Shot",8
14927,47,"Corvus Masterkey",8
10854,20,"Echoline GS-X",1
10857,21,"Echoline GS-X",1
10858,22,"Echoline GS-X",1
10859,7,"Echoline GS-X",1
10860,38,"Echoline GS-X",1
10861,32,"Echoline GS-X",1
10862,45,"Echoline GS-X",1
10863,10,"Harbinger D20",1
10864,8,"Harbinger D20",1
10865,35,"Harbinger D20",1
20674,63,"SZ Aggressor-IR Optic",5
10866,42,"Harbinger D20",1
10867,16,"Harbinger D20",1
10868,43,"Harbinger D20",1
10869,19,"Harbinger D20",1
20873,64,"AVR-T90 Comp",1
20874,64,"FTAC Castle Comp",1
10870,20,"Harbinger D20",1
10871,36,"Harbinger D20",1
20042,49,"SZ Holotherm",5
20340,57,"BPZ40 Hybrid",5
20341,57,"Thermo-Optic X9",5
10873,8,"Echoless-80",1
10874,35,"Echoless-80",1
10875,42,"Echoless-80",1
10876,16,"Echoless-80",1
10877,43,"Echoless-80",1
10878,19,"Echoless-80",1
10879,20,"Echoless-80",1
10418,2,"Canted Vibro-Dot 7",4
14330,43,"Spetsnaz S10 Stock",6
10880,36,"Echoless-80",1
10881,10,"FSS Covert V",1
10882,8,"FSS Covert V",1
10883,35,"FSS Covert V",1
10885,16,"FSS Covert V",1
10886,43,"FSS Covert V",1
10887,19,"FSS Covert V",1
10888,20,"FSS Covert V",1
10889,36,"FSS Covert V",1
10890,10,"Gauge-9 Mono",1
10891,8,"Gauge-9 Mono",1
10892,35,"Gauge-9 Mono",1
14619,6,"Bruen MG80 Trigger",10
10893,42,"Gauge-9 Mono",1
10894,16,"Gauge-9 Mono",1
10895,43,"Gauge-9 Mono",1
10896,19,"Gauge-9 Mono",1
10897,20,"Gauge-9 Mono",1
10898,36,"Gauge-9 Mono",1
13159,17,"FTAC Tiger Grip",8
13160,21,"FTAC Tiger Grip",8
13161,22,"FTAC Tiger Grip",8
13162,9,"FTAC Tiger Grip",8
12450,42,"VX350 Thermal Optic",5
13163,38,"FTAC Tiger Grip",8
13164,32,"FTAC Tiger Grip",8
13165,45,"FTAC Tiger Grip",8
10916,36,"Komodo Heavy",1
10917,10,"XTEN Ported 290",1
10918,8,"XTEN Ported 290",1
10782,4,"TZL-90 V3",1
10920,42,"XTEN Ported 290",1
10921,16,"XTEN Ported 290",1
10922,43,"XTEN Ported 290",1
10923,19,"XTEN Ported 290",1
10924,20,"XTEN Ported 290",1
10925,36,"XTEN Ported 290",1
10935,18,"XTEN RR-40",1
10938,41,"XTEN RR-40",1
10939,14,"XTEN RR-40",1
10940,44,"XTEN RR-40",1
10941,15,"XTEN RR-40",1
10942,26,"XTEN RR-40",1
20675,63,"Schlager Night View",5
20677,63,"Teplo-OP3 Scope",5
20875,64,"XRK Sandstorm",1
10943,18,"Forge DX90-F",1
14928,47,"Commando Foregrip",8
11293,27,"XRK Knockout Breach",1
11294,24,"XRK Knockout Breach",1
11295,41,"XRK Knockout Breach",1
11296,14,"XRK Knockout Breach",1
11576,6,"Cronen Mini Pro",5
11297,44,"XRK Knockout Breach",1
11298,15,"XRK Knockout Breach",1
11299,26,"XRK Knockout Breach",1
10915,20,"Komodo Heavy",1
13147,18,"FTAC Tiger Grip",8
14929,47,"EXF Backdraft Grip",8
14930,47,"XTEN Nexus Grip",8
14931,47,"5.56 Frangible",11
14933,47,"5.56 Armor Piercing",11
14934,47,"5.56 Overpressured +P",11
14935,47,"5.56 High Velocity",11
14936,47,"14"" Bruen Echelon",2
14937,47,"7"" Bruen B-M20",2
14334,41,"Otrezat Stock",6
14335,44,"Otrezat Stock",6
14336,43,"VLK Stockless",6
14337,41,"VLK Stockless",6
14338,44,"VLK Stockless",6
14487,38,"LM Cronus Grip",16
14488,35,"LMK64 Grip",16
13146,29,"FTAC Tiger Grip",8
13892,2,"7.62 High Velocity",11
13893,21,"7.62 High Velocity",11
14938,47,"45 Round Mag",13
14939,47,"60 Round Mag",13
14942,47,"Bruen Flash V4 Stock",6
14943,47,"Bruen GR-500",16
14944,47,"D37 Grip",16
14945,47,"Bruen Flash Grip",16
10944,27,"Forge DX90-F",1
20282,57,"Accu-Shot 5mW Laser",4
20283,57,"VLK LZR 7mW",4
10945,24,"Forge DX90-F",1
10946,41,"Forge DX90-F",1
11987,23,"SZ Lonewolf Optic",5
10948,44,"Forge DX90-F",1
10949,15,"Forge DX90-F",1
10950,26,"Forge DX90-F",1
10952,27,"SA Schalldämpfer 99",1
10953,24,"SA Schalldämpfer 99",1
10954,41,"SA Schalldämpfer 99",1
10955,14,"SA Schalldämpfer 99",1
20678,63,"DR582 Hybrid Sight",5
10956,44,"SA Schalldämpfer 99",1
10958,26,"SA Schalldämpfer 99",1
10962,41,"Singuard MKV",1
20876,64,"Bruen Cubic Comp",1
20672,63,"Cronen Zero-P Optic",5
10963,14,"Singuard MKV",1
13166,37,"FTAC Tiger Grip",8
10964,44,"Singuard MKV",1
10965,15,"Singuard MKV",1
10966,26,"Singuard MKV",1
10967,18,"EXF Huntress-90",1
10968,27,"EXF Huntress-90",1
10969,24,"EXF Huntress-90",1
20342,57,"Teplo Clear Shot",5
20343,57,"Corio CQC Scope",5
10970,41,"EXF Huntress-90",1
10971,14,"EXF Huntress-90",1
10972,44,"EXF Huntress-90",1
10973,15,"EXF Huntress-90",1
10974,26,"EXF Huntress-90",1
10983,18,"Bruen Pendulum",1
14489,23,"LMK64 Grip",16
10984,27,"Bruen Pendulum",1
10985,24,"Bruen Pendulum",1
10987,14,"Bruen Pendulum",1
10988,44,"Bruen Pendulum",1
10989,15,"Bruen Pendulum",1
14913,47,"Hex-40 Grip",8
10991,18,"AVR-T90 Comp",1
10992,27,"AVR-T90 Comp",1
10993,24,"AVR-T90 Comp",1
10994,41,"AVR-T90 Comp",1
10996,44,"AVR-T90 Comp",1
10997,15,"AVR-T90 Comp",1
10998,26,"AVR-T90 Comp",1
13894,22,"7.62 High Velocity",11
13895,7,"7.62 High Velocity",11
10999,10,"FTAC Castle Comp",1
13318,33,"Phase-3 Grip",8
13319,30,"Phase-3 Grip",8
13320,11,"Phase-3 Grip",8
13322,20,"Phase-3 Grip",8
20284,57,"Schlager ULO-66 Laser",4
20285,57,"Stovl TAC Laser",4
13324,17,"Phase-3 Grip",8
13325,21,"Phase-3 Grip",8
13326,22,"Phase-3 Grip",8
13327,9,"Phase-3 Grip",8
13328,38,"Phase-3 Grip",8
13329,32,"Phase-3 Grip",8
13330,45,"Phase-3 Grip",8
11006,18,"FTAC Castle Comp",1
14333,43,"Otrezat Stock",6
11007,27,"FTAC Castle Comp",1
11013,26,"FTAC Castle Comp",1
11014,20,"FTAC Castle Comp",1
20679,63,"Hybrid Firepoint",5
20680,63,"SZ Vortex-90",5
11015,36,"FTAC Castle Comp",1
11017,8,"XTEN Havoc 90",1
20877,64,"Spiral V3.5 Flash Hider",1
11018,35,"XTEN Havoc 90",1
11019,42,"XTEN Havoc 90",1
11020,16,"XTEN Havoc 90",1
11021,43,"XTEN Havoc 90",1
11023,20,"XTEN Havoc 90",1
13423,9,"Hex-40 Grip",8
13148,24,"FTAC Tiger Grip",8
13424,38,"Hex-40 Grip",8
13425,45,"Hex-40 Grip",8
13426,37,"Hex-40 Grip",8
13427,13,"Hex-40 Grip",8
11301,27,"TA Hul-Breach",1
11302,24,"TA Hul-Breach",1
11303,41,"TA Hul-Breach",1
11304,14,"TA Hul-Breach",1
11305,44,"TA Hul-Breach",1
11306,15,"TA Hul-Breach",1
11307,26,"TA Hul-Breach",1
11308,26,"Shikra Silencer",1
11309,39,"Sakin DB 107",1
11311,39,"GW Max-99",1
11312,39,"DB-Big Bore Comp",1
14490,21,"LMK64 Grip",16
14491,38,"LMK64 Grip",16
14492,23,"Lachmann TCG-10",16
11022,19,"XTEN Havoc 90",1
14493,24,"Lachmann TCG-10",16
14622,6,"P890 Double Action",10
14494,21,"Lachmann TCG-10",16
14495,38,"Lachmann TCG-10",16
14496,42,"Bruen G305 Grip Wrap",16
14497,27,"Bruen G305 Grip Wrap",16
14498,20,"Bruen G305 Grip Wrap",16
14522,40,"STIP-40 Grip",16
14499,42,"STIP-40 Grip",16
14501,20,"STIP-40 Grip",16
14502,42,"Bruen Q900 Grip",16
14712,46,"XRK Rise 50",6
14503,27,"Bruen Q900 Grip",16
14504,20,"Bruen Q900 Grip",16
14505,34,"Cronen EM55 Grip",16
14506,22,"Cronen EM55 Grip",16
14507,22,"FSS Spider Grip",16
11313,39,"DB-Dread Comp",1
11314,39,"MACK8 Shotgun Breach",1
11315,39,"XTEN V1.3 Choke",1
11316,39,"XTEN V2.0 Choke",1
11317,39,"Bryson Series IX Choke",1
13300,10,"Phase-3 Grip",8
11000,8,"FTAC Castle Comp",1
10990,26,"Bruen Pendulum",1
11001,35,"FTAC Castle Comp",1
20681,63,"BPZ40 Hybrid",5
11002,42,"FTAC Castle Comp",1
11003,16,"FTAC Castle Comp",1
11004,43,"FTAC Castle Comp",1
11005,19,"FTAC Castle Comp",1
20878,64,"FOX-202 Flash Hider",1
20879,64,"XRK Knockout Breach",1
20880,64,"TA Hul-Breach",1
11024,36,"XTEN Havoc 90",1
20046,49,"Forge Tac Delta 4",5
13797,20,"Bruen Heavy Bipod",8
11025,4,"Zulu-60",1
11026,23,"Zulu-60",1
11027,34,"Zulu-60",1
11028,28,"Zulu-60",1
11029,2,"Zulu-60",1
11031,21,"Zulu-60",1
20345,57,"Aim OP-V4",5
20346,57,"SZ Battle Optic",5
14509,18,"Sakin Rubber Grip",16
10419,36,"Canted Vibro-Dot 7",4
10420,40,"Canted Vibro-Dot 7",4
10421,17,"Canted Vibro-Dot 7",4
10422,21,"Canted Vibro-Dot 7",4
10423,22,"Canted Vibro-Dot 7",4
10424,7,"Canted Vibro-Dot 7",4
10425,38,"Canted Vibro-Dot 7",4
10426,32,"Canted Vibro-Dot 7",4
14510,18,"ZLR Combat Grip",16
14511,18,"Schlager Soldier Grip",16
14512,26,"Fennec Stippled Grip",16
14513,26,"Fennec Textured Grip",16
14514,26,"Fennec Rubber Grip",16
14515,15,"Bruen G305 Grip Wrap",16
14516,15,"STIP-40 Grip",16
14517,15,"Bruen Q900 Grip",16
14519,2,"STIP-40 Grip",16
14520,2,"Bruen Q900 Grip Wrap",16
14521,40,"Bruen G305 Grip Wrap",16
14523,40,"Bruen Q900 Grip Wrap",16
13896,38,"7.62 High Velocity",11
14035,36,"FTAC SB",2
14932,47,"5.56 Hollowpoint",11
20288,57,"FJX Ultrabeam XR",4
11033,7,"Zulu-60",1
11035,32,"Zulu-60",1
11040,28,"Kastovia DX90",1
11042,17,"Kastovia DX90",1
11043,21,"Kastovia DX90",1
11044,22,"Kastovia DX90",1
11045,7,"Kastovia DX90",1
14660,46,"Schlager 3.4x",5
11046,38,"Kastovia DX90",1
11047,32,"Kastovia DX90",1
11048,45,"Kastovia DX90",1
11049,4,"Tempus GH50",1
20683,63,"Thermo-Optic X9",5
20684,63,"Teplo Clear Shot",5
11051,34,"Tempus GH50",1
11052,28,"Tempus GH50",1
11053,2,"Tempus GH50",1
20881,65,"EXF Fifty GS",1
14907,47,"Agent Grip",8
11054,17,"Tempus GH50",1
11055,21,"Tempus GH50",1
11056,22,"Tempus GH50",1
11057,7,"Tempus GH50",1
11058,38,"Tempus GH50",1
11059,32,"Tempus GH50",1
20047,49,"Cronen Zero-P Optic",5
20048,49,"SZ Bullseye Optic",5
20049,49,"Schlager Night View",5
20050,49,"VX350 Thermal Optic",5
20051,49,"Teplo-OP3 Scope",5
20052,49,"DR582 Hybrid Sight",5
20053,49,"Hybrid Firepoint",5
20054,49,"SZ Vortex-90",5
20347,57,"SZ Oscar-9",5
20348,57,"Edge-47 Grip",8
14332,44,"Spetsnaz S10 Stock",6
11060,45,"Tempus GH50",1
11061,4,"TY-LR8",1
11062,23,"TY-LR8",1
11063,34,"TY-LR8",1
11064,28,"TY-LR8",1
11065,2,"TY-LR8",1
11066,17,"TY-LR8",1
11067,21,"TY-LR8",1
11068,22,"TY-LR8",1
